Location_Beauport,Location_Portneuf,Location_Gatineau,Location_Fabreville,Location_Côte-Nord,Subtype,Living Area,Lot Dimensions,Bedrooms,Bathrooms,Levels,Listing Date,Listing Year,Age,Price
1,0,0,0,0,2 Storey,1191,4076,3,1,2,2020-12-01,2020,16,332500
0,1,0,0,0,Bungalow,1261,9500,2,1,1,2021-12-01,2021,64,265000
0,0,1,0,0,Semi-detached,2400,4471,4,2,2,2021-12-01,32,1989,360000
0,0,0,1,0,Bungalow,960,6157,3,2,1,2021-11-01,2021,31,400000
1,0,0,0,0,Bungalow,1340,5500,4,2,1,2021-11-01,2021,34,350000
0,0,0,0,1,Bungalow,1011,9881,3,2,1,2021-10-01,2021,61,255000
